Sembol,Tarih,Fiyat (Son),EMA20_gt_EMA50_gt_EMA200,MACD,MACD_Signal,MACD_Positive,ADX,RSI,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,ATRP_14,STOP Fiyat,TP Fiyat,GUNLUK_FARK,Haftalık Değişim (%),20G Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_4h_Sinyal_Filt_Numeric,Confirmed_BUY,Confirmed_SELL,Kirilim_BreakoutScore,Kirilim_PCTB,Kirilim_BBW_Squeeze,Kirilim_NEAR_10D_BRK,Kirilim_NEAR_20D_BRK,Kirilim_VRATIO10,Kirilim_CMF20,Kirilim_OBV_SLOPE5,Kirilim_ADX_SLOPE5,Kirilim_ATRP,Kirilim_DIST_HIGH,Kirilim_PASS_STRICT,Kirilim_PASS_LIGHT,Mul_KISA_VADE_PUAN,Mul_ORTA_VADE_PUAN,Mul_ANA_PUAN,Mul_RSI14,Mul_ADX14,Mul_ATR14,Mul_EMA21_gt_SMA50_gt_SMA200,SDIP_SCORE,KurumScore_Norm,BreakoutScore_Norm,MultiTFScore_Norm,MomentumScore_Norm,DipScore_Norm,RAW_SCORE,RISK_PENALTY,LOW_RISK_SCORE,TomorrowScore,Tomorrow_Adj
TUREX,2026-02-06,7.3700,0,0.0339,0.0436,0,16.8267,46.9941,-12333462.0000,6.9275,7.4485,7.9695,13.9896,0.0318,7.0200,7.7200,-0.6739,-1.7333,2.9330,4.0960,194221606,5.2900,84.7100,0,100,-,0,0,0,0,10.1300,0.4250,True,False,False,0.4200,-0.0540,4126895.0000,-3.7100,0.0318,0.8553,False,False,13,0,26,46.9941,16.8267,0.2343,0,2,0.0000,10.1300,0.0000,32.5000,16.0000,9.6700,-1.2700,8.4000,9.7300,0.0000
EKIZ,2026-02-06,130.0000,1,1.0122,2.0240,0,14.4160,48.3850,-10569.0000,118.7362,132.4950,146.2538,20.7689,0.0470,120.8400,139.1600,-1.6641,-5.1095,-4.4118,-7.1429,2694783,175.8900,16.2900,0,0,-,0,0,0,0,6.0000,0.4090,True,False,False,0.6200,-0.2230,-54576.0000,-3.2100,0.0470,0.1875,False,False,10,8,28,48.3850,14.4160,6.1069,1,0,0.0000,6.0000,8.0000,33.0000,0.0000,9.5900,-17.3700,-7.7800,-5.6500,-15.0000
GIPTA,2026-02-06,57.9000,0,-3.1931,-3.1142,0,10.5288,34.5630,1745422.0000,56.5196,61.6225,66.7254,16.5618,0.0570,52.9500,62.8500,0.3466,-3.5803,-14.9155,-16.2084,251917440,28.9700,62.7700,0,100,-,0,0,0,1,6.0000,0.1350,True,False,False,0.5500,-0.4840,-918481.0000,0.5000,0.0570,0.6399,False,False,16,0,32,34.5630,10.5288,3.3023,0,2,0.0000,6.0000,0.0000,40.0000,16.0000,9.5800,-8.0700,1.5100,9.2000,0.0000
GEDIK,2026-02-06,5.9000,0,-0.0118,-0.0237,1,19.0834,46.5822,-3434866.0000,5.7485,5.9400,6.1315,6.4485,0.0296,5.6400,6.1600,-0.5059,-0.1692,-1.5025,-1.9934,35586082,82.4400,40.5200,0,100,-,0,0,0,0,11.2800,0.3960,True,False,False,0.5700,-0.1100,5276037.0000,-3.1500,0.0296,0.4592,False,False,8,0,16,46.5822,19.0834,0.1744,0,2,0.0000,11.2800,6.0000,20.0000,16.0000,9.4200,-0.1300,9.2900,9.7100,-0.1000
EKOS,2026-02-06,5.8000,0,-0.0879,-0.0948,1,13.1600,42.3651,-8301281.0000,5.6545,5.9385,6.2225,9.5644,0.0413,5.4400,6.1600,-0.6849,-1.8612,6.6176,1.3986,85128903,29.7500,33.6000,0,100,-,0,0,0,0,6.0000,0.2560,True,False,False,0.6400,-0.1520,-1535353.0000,-3.5900,0.0413,0.2183,False,False,13,0,26,42.3651,13.1600,0.2393,0,1,0.0000,6.0000,6.0000,32.5000,8.0000,9.4100,-5.2300,4.1800,9.1800,0.0000
RAYSG,2026-02-06,220.8000,0,-0.2085,-0.4261,1,17.8154,44.5498,-201287.0000,216.3448,222.6200,228.8952,5.6376,0.0279,211.5500,230.0500,-1.0753,-1.4286,1.6575,-2.1277,63927507,4.9400,70.4800,0,100,-,0,0,0,0,6.0000,0.3550,True,False,False,0.7400,-0.1410,-512461.0000,-4.7300,0.0279,0.4605,False,False,11,0,22,44.5498,17.8154,6.1680,0,3,0.0000,6.0000,6.0000,27.5000,24.0000,9.3600,-0.9100,8.4500,8.7000,-0.5200
DUNYH,2026-02-06,111.3000,0,-0.5263,-0.8333,1,11.5921,50.6070,427917.0000,105.2819,109.7000,114.1181,8.0550,0.0486,103.1900,119.4100,1.2739,3.5349,4.0187,5.1985,64724708,49.2000,16.9400,0,0,-,0,0,0,0,3.1300,0.6810,False,False,False,0.8100,-0.0770,1106247.0000,0.4000,0.0486,0.2335,False,False,16,0,32,50.6070,11.5921,5.4047,0,0,0.0000,3.1300,6.0000,40.0000,0.0000,9.3300,-6.9200,2.4100,8.7500,0.0000
KAREL,2026-02-06,9.0000,0,0.0805,0.0909,0,18.9456,47.6977,-7817448.0000,8.8030,9.1400,9.4770,7.3752,0.0294,8.6000,9.4000,-0.8811,-2.0675,3.4483,3.5673,82237971,18.2700,35.3000,0,100,-,0,0,0,0,14.0000,0.2920,True,False,False,0.7500,-0.1460,16362970.0000,-2.1300,0.0294,0.1885,False,False,8,0,16,47.6977,18.9456,0.2648,0,3,0.0000,14.0000,0.0000,20.0000,24.0000,9.2200,-0.2000,9.0200,9.6500,-0.1500
GOODY,2026-02-06,15.7100,0,0.2316,0.2179,1,28.3640,54.7937,-927696.0000,14.8641,15.5695,16.2749,9.0616,0.0209,15.2200,16.2000,-1.1328,0.3834,5.2949,6.1486,19980599,10.3200,22.3000,0,100,-,0,0,0,0,18.3700,0.6000,True,False,False,0.6600,-0.1050,2009131.0000,-4.1200,0.0209,0.2223,False,False,-1,5,3,54.7937,28.3640,0.3278,0,3,0.0000,18.3700,6.0000,2.5000,24.0000,9.1900,-16.5700,-7.3800,-6.8500,-17.2700
AVPGY,2026-02-06,53.7000,0,-0.0391,0.4302,0,21.7818,40.3017,636169.0000,53.7498,56.4700,59.1902,9.6341,0.0280,51.4500,55.9500,0.3738,-5.3744,0.0932,2.3832,78597138,12.2900,19.1200,0,0,-,0,0,0,0,9.7800,-0.0090,True,False,False,0.4400,-0.0400,-6416438.0000,-5.6600,0.0280,0.2091,False,False,11,0,22,40.3017,21.7818,1.5019,0,3,0.0000,9.7800,0.0000,27.5000,24.0000,9.1000,-0.6700,8.4300,8.7400,-0.5000
PENTA,2026-02-06,13.9900,0,0.1312,0.1436,0,20.9810,49.8934,-1436955.0000,13.4669,14.0425,14.6181,8.1980,0.0261,13.4400,14.5400,-0.0714,-0.5686,4.4810,4.4810,34710923,13.1900,24.3800,0,100,-,0,0,0,0,9.7400,0.4540,True,False,False,0.5500,-0.1640,755409.0000,-4.3200,0.0261,0.2826,False,False,11,0,22,49.8934,20.9810,0.3649,0,3,0.0000,9.7400,0.0000,27.5000,24.0000,9.0900,-1.3200,7.7700,8.2500,-0.9700
RNPOL,2026-02-06,42.5800,1,-0.1912,0.4012,0,15.2304,39.6816,-225021.0000,40.2958,45.9220,51.5482,24.5034,0.0551,39.0600,46.1000,-1.9346,-5.8798,9.3477,-0.4675,17690581,83.8500,19.5100,0,0,-,0,0,0,0,14.9500,0.2030,True,False,False,1.0800,0.4100,-533893.0000,2.2200,0.0551,0.2608,False,False,4,0,8,39.6816,15.2304,2.3460,0,1,0.0000,14.9500,8.0000,10.0000,8.0000,9.0300,-16.4900,-7.4600,-5.1200,-15.0000
PETKM,2026-02-06,17.7100,0,0.2888,0.3039,0,22.4188,51.2170,-51694484.0000,16.6531,17.7115,18.7699,11.9520,0.0249,17.0500,18.3700,-0.7843,-3.9588,5.1663,5.5423,1165915018,12.0200,27.9500,0,100,-,0,0,0,0,10.5900,0.4990,True,False,False,0.7600,0.0090,-173011267.0000,-3.0000,0.0249,0.1986,False,False,11,0,22,51.2170,22.4188,0.4410,0,2,0.0000,10.5900,0.0000,27.5000,16.0000,8.9700,-1.7200,7.2500,7.8900,-1.2800
