k,combo,N,Mean,HitRate15,NegRate,Lift15
2,"Kirilim_NEAR_10D_BRK ==True AND ATRP_14 in_bin(0.0438,0.5013]",290,7.334321215744158,0.2206896551724138,0.25862068965517243,4.268073613466491
3,"Kirilim_BBW_Squeeze ==False AND RISK_PENALTY in_bin(-140.1,-13.5] AND Kirilim_PCTB in_bin(0.76,1.589]",294,9.546780008225175,0.2687074829931973,0.2108843537414966,5.196724409253684
4,"Kirilim_BBW_Squeeze ==False AND RISK_PENALTY in_bin(-140.1,-13.5] AND Mul_ATR14 in_bin(1.83,1.357e+04] AND Kirilim_PCTB in_bin(0.76,1.589]",211,10.26072766415068,0.3127962085308057,0.2132701421800948,6.049387511977832
